"PVWatts Hourly PV Performance Data"
"Requested Location","denton, tx"
"Location","Lat, Lng: 33.21, -97.14"
"Latitude (DD)","33.21"
"Longitude (DD)","-97.14"
"Elevation (m)","202.67999267578"
"DC System Size (kW)","100"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3","2.6","0.16","0","3","0","0"
"1","1","1","0","0","3","2.5","0.16","0","3","0","0"
"1","1","2","0","0","2","2.6","0.16","0","2","0","0"
"1","1","3","0","0","2","2.9","0.16","0","2","0","0"
"1","1","4","0","0","1","3.1","0.16","0","1","0","0"
"1","1","5","0","0","1","3.3","0.16","0","1","0","0"
"1","1","6","0","0","1","3.4","0.16","0","1","0","0"
"1","1","7","0","0","1","3.6","0.16","0","1","0","0"
"1","1","8","0","28","1","3.9","0.16","25.967","1.455","2173.068","1699.711"
"1","1","9","0","66","2","4.1","0.16","61.374","3.05","5378.524","4791.586"
"1","1","10","169","199","4","4.3","0.16","332.02","9.528","30012.822","28552.992"
"1","1","11","103","240","5","4.3","0.16","330.592","10.491","29515.635","28073.422"
"1","1","12","1","171","6","4.4","0.16","165.402","8.704","14467.758","13558.751"
"1","1","13","0","120","6","4.5","0.16","113.259","7.827","9832.867","9088.093"
"1","1","14","102","202","6","4.6","0.16","281.279","10.493","25163.803","23875.793"
"1","1","15","0","87","5","4.3","0.16","82.405","6.371","7203.955","6552.334"
"1","1","16","436","64","3","3.4","0.16","242.102","7.55","20964.577","19825.363"
"1","1","17","0","0","1","2.8","0.16","0","0","0","0"
"1","1","18","0","0","0","2.8","0.16","0","0","0","0"
"1","1","19","0","0","0","2.7","0.16","0","0","0","0"
"1","1","20","0","0","0","2.3","0.16","0","0","0","0"
"1","1","21","0","0","0","1.9","0.16","0","0","0","0"
"1","1","22","0","0","-1","1.8","0.16","0","-1","0","0"
"1","1","23","0","0","-1","2","0.16","0","-1","0","0"
"1","2","0","0","0","-1","2.2","0.16","0","-1","0","0"
"1","2","1","0","0","-2","2","0.16","0","-2","0","0"
"1","2","2","0","0","-2","2","0.16","0","-2","0","0"
"1","2","3","0","0","-2","2.1","0.16","0","-2","0","0"
"1","2","4","0","0","-2","2.1","0.16","0","-2","0","0"
"1","2","5","0","0","-2","1.9","0.16","0","-2","0","0"
"1","2","6","0","0","-2","1.7","0.16","0","-2","0","0"
"1","2","7","0","0","-1","2","0.16","0","-1","0","0"
"1","2","8","30","60","0","2.3","0.16","73.183","1.67","6324.067","5703.624"
"1","2","9","83","134","0","2.2","0.16","184.185","4.323","16784.864","15793.753"
"1","2","10","107","198","1","2.2","0.16","279.567","7.552","25297.431","24004.686"
